Map Name,MD5,Size/Bytes
surf_amplitude_light.bsp,aa19704b87f8a6990a939246c3ab5c9d,13713601
,,
surf_and_destroy.bsp,98d9944d078ba25ea81a3682c784b8c2,33810919
,,
surf_and_destroy_fix.bsp,d135bd22e606babce7f74aa9bf8a5bf8,35314196
,,
surf_android.bsp,75af782e42ef8f2fbe9fa9b6307eeae9,44672772
,,
surf_android_csgo.bsp,20fb5f191d4b9d8b240d50d72189b356,40617762
,,
surf_android_ksf.bsp,00213927e4f46866bc5a220b391e96dd,46876878
,,
surf_andromeda.bsp,d94e3123cde7dbeceb79994bc8a13adb,149007947
,,
surf_angst_go.bsp,997626809b2f1582ff115f2220716193,345910444
,,
surf_animals.bsp,58b852791cc3acb28184ff69426e890b,121355046
,,
surf_animals_ksf.bsp,7565f92393c7cccc993fa43d7df3bd44,104446562
,,
surf_animekoreanclgpeople.bsp,807567fb43198f736ab80f9a1d98dd26,75403749
,,
surf_annoyance_njv.bsp,017569d03d71f58e55e661ca8b9dfbe4,37577211
,,
surf_anoname.bsp,f4b2dc41b8ba4963c7ffbaf4a7f9e089,91553448
,,
surf_anonymity.bsp,ddd935a6d8489044e2f49747a3400705,96460931
,,
surf_anthropomorphic.bsp,451a684559f0648904617228551bdf05,143139435
,,
surf_antimatter.bsp,814254776d31550741649e3ceca1189d,22642120
,,
surf_antimatter_v2.bsp,814254776d31550741649e3ceca1189d,22642120
,,
surf_antivero.bsp,fd0b7e2261ca18e459e1a4ff94459358,55279608
,,
surf_anubis.bsp,77bd7e4a60809aa8772d438f2247f0f8,114119891
,,
surf_anything.bsp,3c3c40e0823acec92187c2e57e8320e9,68128185
,,
surf_anzchamps.bsp,ccf102b934a76a90b91664d0d296a52a,101110016
,,
surf_ape3.bsp,09fc34575de0a1d4fcabbfe1aafbb803,1044756
,,
surf_aphelion.bsp,1497fb5989f21c6e54379f1af888b5ea,140269915
,,
surf_apollo.bsp,3b9f9866ea702cecc75433e6eea2b258,73897189
,,
surf_apollonian.bsp,05892f7bf324bb830f574d58ebdbe4cc,51556370
,,
surf_apollonian_go.bsp,05892f7bf324bb830f574d58ebdbe4cc,51556370
,,
surf_aqua.bsp,726ccdf23bab4ee7643d9bb02b22023a,20366448
,,
surf_aqua_fix.bsp,f1f2c9f5688b66e3511a94dfab580fd6,24558460
,,
surf_aquaflow.bsp,9f2104cab3e31989cfb8bcd67069d373,88834324
,,
surf_arcade.bsp,c9cbb137149c25eb89a62e518c84fe75,137126477
,,
surf_ardon.bsp,3548e949d81e968be7f5cb488a3cd14b,237739868
,,
surf_ardon_fix.bsp,d7c8a95412265b54bcab1a7696c4c857,201780021
,,
surf_ardon_refix.bsp,ab8db0f33e720c7d729e88798c26131d,237455212
,,
surf_arghmyeyes.bsp,435f9c08a4aedbdba7f1722f43229590,23352994
,,
surf_arghmyeyes_retexture.bsp,7d8088cd9f545b6e887985919b31f4cd,19233325
,,
surf_artifex.bsp,71502a2a7c7f477ee6a64593d601a353,98540170
,,
surf_artois.bsp,465228ce2465f6518f64fe3008d3db3f,63719418
,,
surf_aser.bsp,802b1cb2abfe6e4f64f42f0f48dac649,89922494
,,
surf_ashpalt.bsp,bafa6eaf0df8580d4b370b9f18fa6000,22674576
,,
surf_aspect.bsp,1c3f469f465369b808ffd6654822d1ae,82676928
,,
surf_aspiration.bsp,fb0759ac6747056e52a6291bc1298a66,22460581
,,
surf_aspiration_ss.bsp,55dd016034d6a6cee0bcadd9500b5bce,23616699
,,
surf_asrown.bsp,9d4619a78f3deff1b154ba5d633867e5,26179292
,,
surf_astray.bsp,6edff93264415dd0c4b8476876f6aefd,85720303
,,
surf_ataque_final.bsp,3efd2960484c31d5a902eaeb06197b7c,40745721
,,
surf_a_tier_one_map.bsp,16018e95e17c5b09fbbd64c2eeccc34c,67516828
,,
surf_atlantis.bsp,85a6dd5e4a259c525f75a0c891f87934,27860054
,,
surf_atlas_1.bsp,0edb0a9316c3f1618980527a626ef3a1,21361147
,,
surf_atlas.bsp,ee0ceeeebea50588b59e57de314c9273,21360149
,,
surf_atrium.bsp,4313530ab6590fb71b8b8878b396a964,28969156
,,
surf_at_the_limit.bsp,d016f15408a801f27ea994aeb5e92a2c,35883908
,,
surf_at_the_limit_fixed.bsp,d016f15408a801f27ea994aeb5e92a2c,35883908
,,
surf_aura.bsp,7e8b60a292564a276160e084abe8a36d,82279382
,,
surf_aurantia-grisea.bsp,c90cf0aa31af42b0d0f8937645a73bda,14693260
,,
surf_auroia_njv.bsp,639800f0db55e69c462d2efefe0c60a6,37123609
,,
surf_auroria_2.bsp,67b56062eade8c010c3c8b393e6d1d6a,97721601
,,
surf_auroria2.bsp,d88af693998446b921ad168e24a1e5ac,93617653
,,
surf_auroria_ksf.bsp,77bc5c541f4ca3131ebe89462231dea7,37357889
,,
surf_auroria_ss.bsp,5ba00216f148dccb19856f6b10a8bed9,22790144
,,
surf_austinpowers.bsp,f295f54d9d370212aff4a052e5f856de,2277376
,,
surf_autism_2.bsp,1b61543d9061cfd0124018d59a6834c8,12404763
,,
surf_autism_2_ss.bsp,ebfd27bd0f0b25ddaf106a157e041411,12992674
,,
surf_autism.bsp,47352fcfa783242bcd118c1da95a4d82,20840564
,,
surf_autonomy.bsp,6276f902677364f40aa4ce9a46992c20,106664488
,,
surf_aux.bsp,0e7162bde644d275e45178165a1bc367,76742468
,,
surf_awakening.bsp,acda6b73d40f6b933298bea0fa716d22,112023410
,,
surf_aweles.bsp,7dd6d7a77080bd291fc361ef40ebe7a9,23974840
,,
surf_aweles_gfl.bsp,0ff34c2a217c9b49fd52affbf2cb6bb0,23981832
,,
surf_aweles_inferno.bsp,30239e9e3d21491d516aea8360e22a76,67898537
,,
surf_aweles_inferno_fix.bsp,edbdc92ed3a85b53035b0278d6a09aad,67620843
,,
surf_a_xblah_reborn.bsp,87b289490d832c89f6e7b9fad9496b1d,17472248
,,
surf_ax.bsp,1ef8efbb426b385858d45a28053b0a87,23393821
,,
surf_axil.bsp,863ddc9d46d437d98acdb218ad013e1d,183618223
,,
surf_axiom2.bsp,75e2b4dbef191a23a11549620bc654b3,82442067
,,
surf_axiom.bsp,80abf9b83ded3de0112ebc3365bab6a9,143006991
,,
surf_axiom_fix.bsp,c6b9801463c711b439e333a5d37bab71,142896822
,,
surf_bacalhau.bsp,19b36a478f4be2cf5d2979473a66726b,11952216
,,
surf_bageena.bsp,f889ce34b4a068d3c56e413bac080a1f,59320676
,,
surf_banger.bsp,e875930c2c005ac5eeeccdf0d9312977,199812392
,,
surf_basalt.bsp,d127ff7100d1aa10f6fe629ba7ed6d6b,38505320
,,
surf_basic.bsp,e2a595fcee101cca1015ce73dfe16fa5,6371060
,,
surf_bbb.bsp,cbc4ff885dc03eaf1bd92920683974ab,65896066
,,
surf_before.bsp,7e2d6ee28d4bbb3be207fc2f1618cdbe,62296985
,,
surf_be_gentle.bsp,1eb252af85141f7966a5f9897b239752,33874656
,,
surf_beginner2_b.bsp,3eb475867afa3f9edbea7fcebbb7d24d,63196821
,,
surf_beginner2.bsp,f7cdd565d715d6ca3c5a5aa22454e853,63306113
,,
surf_beginner.bsp,5ace98eaed5900790d3aca7165e18fc2,46508538
,,
surf_beginner_h.bsp,3eb475867afa3f9edbea7fcebbb7d24d,63196821
,,
surf_beginner_hell.bsp,81910da6beff020358b89d0d4745aa11,50673514
,,
surf_beginner_hell_ksf.bsp,ae9465543224fca66e7c3b77ab750a10,56018405
,,
surf_beginner_lin.bsp,ec60053444242c14bcbd248185789c0d,56589356
,,
surf_beginner_ug.bsp,51dce4c2db3be30ae52b0603a4c1a699,19466520
,,
surf_believe_fix.bsp,9e381634da3cf911be16d6831c3e4314,16758832
,,
surf_believe_refix.bsp,ab3d311e706f0304e1835617696fdbe1,18296540
,,
surf_benevolent.bsp,2c6dbf69d8b167c2c5f2b3dc7df882d8,120780133
,,
surf_bepis.bsp,7b2064fcdc0b0876036ed9904d857a19,38303028
,,
surf_beverages.bsp,2adb559db30658ac08c3183ff40e3db5,66614023
,,
surf_beverages_remix_go.bsp,780a3692a6fdcf7534b70cdda3c52507,85952147
,,
surf_bewatermyfriend.bsp,a506e85b5dc7482e8dbbfd8b38cfc514,32077017
,,
surf_beyer2.bsp,539880c2e1474df9a7e42cee3a73550a,65504117
,,
surf_beyer2_fix.bsp,51aa3e9415b706c22c1596a4bc887453,58446677
,,
surf_beyer.bsp,a1abbed0a6eb16ad362b5fcbab2ce390,20486865
,,
surf_beyond.bsp,cb464b745409d3691d96022b39e5b138,58781264
,,
surf_bigfoot.bsp,ebbfc033b569fb973f5c13da661ea162,4871216
,,
surf_bigred_thing.bsp,e22fdbc93e0c3aedc38cde40e368a9d4,12379233
,,
surf_biohazards.bsp,a00f0fd7e34114c2b46317af2fc09ca5,24030508
,,
surf_blackandgold.bsp,eb204561376106b504a76ea212f17d90,122815032
,,
surf_blackheart.bsp,66f85ec1d1812997d6ef86efa9a61545,44968020
,,
surf_blackout_v1.bsp,679888fe0d376e0a75127b38801307b4,66466882
,,
surf_blackside.bsp,a7e0abfd921540d95c799a5e98efc7a5,82843554
,,
surf_blackside_njv.bsp,6b9b5073d066bfb63b897de539bfc7ed,82843554
,,
surf_bland.bsp,94ce92fd86825857992b10bdf8a83ede,6084896
,,
surf_blub_njv.bsp,583b548f1efc2f4af6f70e6bbf1f62de,20401438
,,
surf_blue.bsp,f3e32f470da18b32d5848c57d0c9a772,101556995
,,
surf_bluesky_beta.bsp,10c33d14de510cafc26313ec049b0b18,15339072
,,
surf_bluewall.bsp,d442af4d06301de0245b0d06ab365fb4,44513613
,,
surf_bluewinter_final.bsp,bc35f237f7511d997cc62a2c22f771c9,9460976
,,
surf_blurry_fix.bsp,5e09c2407e929b004b24e5c12bee2915,35157848
,,
surf_blyad.bsp,e00c4e8dde1d450d251043d5a92fa5d5,56896884
,,
surf_boatastic.bsp,83fe71f312d93fafd98245ac0b7082ae,19279665
,,
surf_bob.bsp,62bff5d7dc07afbd0f8b8e5c98af0698,37379583
,,
surf_boboken.bsp,32e6aadeba1a67b72139163320afe3a8,53152960
,,
surf_bombix_v2.bsp,6b7efed250e1cfd755bacdaa27412d17,26802644
,,
surf_boneless_beta.bsp,539183b51189afeaf04f21b777c30cd2,2877096
,,
surf_boner.bsp,3afcbc448184069c0b2c851deecfbe7c,47656568
,,
surf_bonk.bsp,76da782569ae296c657e2d4beeee992e,52186736
,,
surf_bonkers_v2.bsp,b187a9070b064615b31faac49f0e9bf6,94151649
,,
surf_bonus.bsp,1e32be7803bcaaab49f216abd30d25c5,38701921
,,
surf_borderlands.bsp,b80dc57a87cee0ac15550fb0f083e940,27246850
,,
surf_borderlands_h.bsp,c93c1da6a4972ac11f5953de10b525df,27573032
,,
surf_boreas.bsp,d9c073753700707ae0f7a1bd3bb65b57,148915128
,,
surf_boring.bsp,4120a6983c9df2b8bc1be3ebc5ed0d37,89107609
,,
surf_bork_nbv.bsp,fe70d4f29e889c8647d25ab0a321a5d6,41446449
,,
surf_botisses.bsp,18f3f73cd89e179b346e1c43b55e3889,31677028
,,
surf_boy_fixed.bsp,cd5c5a2aab52acfc030c17de31bf39ef,69110124
,,
surf_braininvasion.bsp,c1f6852effa4a4132f8b85957a20f403,19945428
,,
surf_brake1000.bsp,dbf44e395bb6ff3f4d3e0e08f70a1dfa,8336820
,,
surf_bricks.bsp,2b174405b7d2d8d49308b082dc38ccea,13268172
,,
surf_brickwood.bsp,dec49d7568c7f99afc92138fb23e6926,131827088
,,
surf_brodderlands.bsp,0d1a3c2d55a5a63bf23b4a850bf1b158,144187184
,,
surf_broken.bsp,c503e2696698ddca29e2e8afa76e495b,24090435
,,
